Techs,tech-billable hours per week,Billable Hours Per week,avg Tech rate,Annual Rev Proj.,Project Hours - YTD
4,40,8320,96,798720,1131
5,40,10400,96,998400,1131
6,40,12480,96,1198080,1131
7,40,14560,96,1397760,1131
8,40,16640,96,1597440,1131
9,40,18720,96,1797120,1131
10,40,20800,96,1996800,1131
11,40,22880,96,2196480,1131
12,40,24960,96,2396160,1131
13,40,27040,96,2595840,1131
14,40,29120,96,2795520,1131
15,40,31200,96,2995200,1131
16,40,33280,96,3194880,1131
17,40,35360,96,3394560,1131
18,40,37440,96,3594240,1131
19,40,39520,96,3793920,1131
20,40,41600,96,3993600,1131
4,40,8320,98,815360,1131
5,40,10400,98,1019200,1131
6,40,12480,98,1223040,1131
7,40,14560,98,1426880,1131
8,40,16640,98,1630720,1131
9,40,18720,98,1834560,1131
10,40,20800,98,2038400,1131
11,40,22880,98,2242240,1131
12,40,24960,98,2446080,1131
13,40,27040,98,2649920,1131
14,40,29120,98,2853760,1131
15,40,31200,98,3057600,1131
16,40,33280,98,3261440,1131
17,40,35360,98,3465280,1131
18,40,37440,98,3669120,1131
19,40,39520,98,3872960,1131
20,40,41600,98,4076800,1131
4,40,8320,100,832000,1131
5,40,10400,100,1040000,1131
6,40,12480,100,1248000,1131
7,40,14560,100,1456000,1131
8,40,16640,100,1664000,1131
9,40,18720,100,1872000,1131
10,40,20800,100,2080000,1131
11,40,22880,100,2288000,1131
12,40,24960,100,2496000,1131
13,40,27040,100,2704000,1131
14,40,29120,100,2912000,1131
15,40,31200,100,3120000,1131
16,40,33280,100,3328000,1131
17,40,35360,100,3536000,1131
18,40,37440,100,3744000,1131
19,40,39520,100,3952000,1131
20,40,41600,100,4160000,1131
4,40,8320,90,748800,1131
5,40,10400,90,936000,1131
6,40,12480,90,1123200,1131
7,40,14560,90,1310400,1131
8,40,16640,90,1497600,1131
9,40,18720,90,1684800,1131
10,40,20800,90,1872000,1131
11,40,22880,90,2059200,1131
12,40,24960,90,2246400,1131
13,40,27040,90,2433600,1131
14,40,29120,90,2620800,1131
15,40,31200,90,2808000,1131
16,40,33280,90,2995200,1131
17,40,35360,90,3182400,1131
18,40,37440,90,3369600,1131
19,40,39520,90,3556800,1131
20,40,41600,90,3744000,1131
4,40,8320,92,765440,1131
5,40,10400,92,956800,1131
6,40,12480,92,1148160,1131
7,40,14560,92,1339520,1131
8,40,16640,92,1530880,1131
9,40,18720,92,1722240,1131
10,40,20800,92,1913600,1131
11,40,22880,92,2104960,1131
12,40,24960,92,2296320,1131
13,40,27040,92,2487680,1131
14,40,29120,92,2679040,1131
15,40,31200,92,2870400,1131
16,40,33280,92,3061760,1131
17,40,35360,92,3253120,1131
18,40,37440,92,3444480,1131
19,40,39520,92,3635840,1131
20,40,41600,92,3827200,1131
